t_ms,x,y
0,1040.22,657.34
4,1040.22,657.34
9,1040.22,657.34
14,1040.22,657.34
19,1040.22,657.34
24,1040.22,657.34
29,1040.22,657.34
34,1040.22,657.34
39,1040.22,657.34
44,1040.22,657.34
49,1040.22,657.34
54,1040.22,657.34
59,1040.22,657.34
63,1040.22,657.34
68,1040.22,657.34
73,1040.22,657.34
77,1040.22,657.34
82,1040.22,657.34
87,1040.22,657.34
92,1040.22,657.34
96,1040.22,657.34
101,1040.22,657.34
106,1040.22,657.34
110,1040.22,657.34
115,1040.22,657.34
120,1040.22,657.34
125,1040.22,657.34
130,1040.22,657.34
135,1040.22,657.34
140,1040.22,657.34
145,1040.22,657.34
149,1040.22,657.34
154,1040.22,657.34
159,1040.22,657.34
164,1040.22,657.34
169,1040.22,657.34
174,1040.22,657.34
179,1040.22,657.34
184,1040.22,657.34
189,1040.22,657.34
194,1040.22,657.34
199,1040.22,657.34
204,1040.22,657.34
209,1040.22,657.34
213,1040.22,657.34
218,1040.22,657.34
222,1040.22,657.34
227,1040.22,657.34
232,1040.22,657.34
236,1040.22,657.34
241,1040.22,657.34
246,1040.22,657.34
251,1040.22,657.34
255,1040.22,657.34
259,1040.22,657.34
264,1040.22,657.34
269,1040.22,657.34
274,1040.22,657.34
279,1040.22,657.34
284,1040.22,657.34
289,1040.22,657.34
294,1040.22,657.34
299,1040.22,657.34
304,1040.22,657.34
309,1040.22,657.34
314,1040.22,657.34
318,1040.22,657.34
323,1040.22,657.34
328,1040.22,657.34
333,1040.22,657.34
338,1040.22,657.34
343,1040.22,657.34
347,1040.22,657.34
352,1040.22,657.34
357,1040.22,657.34
362,1040.22,657.34
367,1040.22,657.34
371,1040.22,657.34
376,1040.22,657.34
381,1040.22,657.34
386,1040.22,657.34
390,1040.22,657.34
395,1040.22,657.34
400,1040.22,657.34
405,1040.22,657.34
410,1040.22,657.34
415,1040.22,657.34
420,1040.22,657.34
424,1040.22,657.34
428,1040.22,657.34
433,1040.22,657.34
438,1040.22,657.34
443,1040.22,657.34
448,1040.22,657.34
453,1040.22,657.34
457,1040.22,657.34
461,1040.22,657.34
466,1040.22,657.34
471,1040.22,657.34
476,1040.22,657.34
481,1040.22,657.34
486,1040.22,657.34
491,1040.22,657.34
496,1040.22,657.34
